contrast_threshold,octave_layers,ransac_threshold,lowe_ratio,edge_threshold,gaussian_blur,accuracy,true_positive_rate,false_positive_rate,false_negative_rate
0.02,6,2.0,0.7,10,1.6,0.408602146144063,0.44186045997836676,0.1555555520987655,0.5581395283937264
0.02,6,2.0,0.7,15,1.0,0.38461538038884197,0.40697673945375884,0.12499999687500009,0.5930232489183344
0.02,6,2.0,0.7,15,1.3,0.40449437747759126,0.4186046462952948,0.0769230749506904,0.5813953420767983
0.02,6,2.0,0.7,15,1.6,0.4285714238618525,0.45348836681990273,0.11363636105371908,0.5465116215521905
0.02,6,2.0,0.7,20,1.0,0.380434778473535,0.40697673945375884,0.14634145984533026,0.5930232489183344
0.02,6,2.0,0.7,20,1.3,0.38202246761772507,0.39534883261222287,0.08108107888970058,0.6046511557598703
0.02,6,2.0,0.7,20,1.6,0.4175824129935999,0.44186045997836676,0.11627906706327752,0.5581395283937264
0.02,6,2.0,0.75,10,1.0,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,6,2.0,0.75,10,1.3,0.37634408197479485,0.40697673945375884,0.1666666626984128,0.5930232489183344
0.02,6,2.0,0.75,10,1.6,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,6,2.0,0.75,15,1.0,0.4468085058850159,0.48837208734451065,0.15999999680000007,0.5116279010275826
0.02,6,2.0,0.75,15,1.3,0.3978494580876403,0.4302325531368308,0.1590909054752067,0.5697674352352624
0.02,6,2.0,0.75,15,1.6,0.45054944559835775,0.4767441805029747,0.10869564981096413,0.5232558078691185
0.02,6,2.0,0.75,20,1.0,0.43617020812584884,0.4767441805029747,0.16326530279050402,0.5232558078691185
0.02,6,2.0,0.75,20,1.3,0.380434778473535,0.40697673945375884,0.14634145984533026,0.5930232489183344
0.02,6,2.0,0.75,20,1.6,0.4347826039697543,0.4651162736614387,0.13043477977315696,0.5348837147106545
0.02,6,2.0,0.8,10,1.0,0.42268040801360407,0.4767441805029747,0.21153845747041428,0.5232558078691185
0.02,6,2.0,0.8,10,1.3,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,6,2.0,0.8,10,1.6,0.4468085058850159,0.48837208734451065,0.15999999680000007,0.5116279010275826
0.02,6,2.0,0.8,15,1.0,0.4299999957,0.49999999418604657,0.24561403077870123,0.49999999418604657
0.02,6,2.0,0.8,15,1.3,0.4255319103666818,0.4651162736614387,0.16666666319444454,0.5348837147106545
0.02,6,2.0,0.8,15,1.6,0.45833332855902786,0.5116279010275826,0.18518518175583,0.48837208734451065
0.02,6,2.0,0.8,20,1.0,0.4444444399551067,0.5116279010275826,0.2280701714373654,0.48837208734451065
0.02,6,2.0,0.8,20,1.3,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,6,2.0,0.8,20,1.6,0.45744680364418294,0.49999999418604657,0.1568627420222992,0.49999999418604657
0.02,6,3.0,0.7,10,1.0,0.3626373586523367,0.3837209257706869,0.13157894390581729,0.6162790626014063
0.02,6,3.0,0.7,10,1.3,0.38888888456790127,0.40697673945375884,0.10256409993425386,0.5930232489183344
0.02,6,3.0,0.7,10,1.6,0.408602146144063,0.44186045997836676,0.1555555520987655,0.5581395283937264
0.02,6,3.0,0.7,15,1.0,0.38461538038884197,0.40697673945375884,0.12499999687500009,0.5930232489183344
0.02,6,3.0,0.7,15,1.3,0.40449437747759126,0.4186046462952948,0.0769230749506904,0.5813953420767983
0.02,6,3.0,0.7,15,1.6,0.43956043473010514,0.4651162736614387,0.11111110864197538,0.5348837147106545
0.02,6,3.0,0.7,20,1.0,0.3956043912570946,0.4186046462952948,0.12195121653777521,0.5813953420767983
0.02,6,3.0,0.7,20,1.3,0.3977272682076447,0.40697673945375884,0.054054052593133714,0.5930232489183344
0.02,6,3.0,0.7,20,1.6,0.4285714238618525,0.45348836681990273,0.11363636105371908,0.5465116215521905
0.02,6,3.0,0.75,10,1.0,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,6,3.0,0.75,10,1.3,0.37634408197479485,0.40697673945375884,0.1666666626984128,0.5930232489183344
0.02,6,3.0,0.75,10,1.6,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
